Respondent_ID,Age_Group,Generation,Gender,Region,Income_Level,Urban_Rural,Trust_In_Brands,Price_Sensitivity,Quality_Over_Price,Sustainability_Important,Brand_Loyalty,Try_New_Products,Online_Shopping_Preference,Social_Media_Influence,Canadian_Made_Important,Feel_Good_Purchase,Monthly_Discretionary_Spend,Purchase_Frequency_QSR,Coffee_Shop_Visits_Week,Online_Purchases_Month,Survey_Date,Survey_Method,Response_Quality_Score
R00696,18-24,Gen Z,Prefer not to say,British Columbia,$30k-$50k,Suburban,5,5,4,4,4,3,4,1,3,5,$500-$1000,Rarely,6,19,2026-01-16,Phone,0.96
R00697,65+,Boomers,Prefer not to say,Manitoba,$50k-$75k,Urban,3,5,3,3,4,4,2,4,5,2,$500-$1000,Rarely,6,0,2026-02-03,Online Panel,0.73
R00698,45-54,Gen X,Male,Ontario,$75k-$100k,Urban,5,4,2,3,5,3,3,2,3,3,$500-$1000,Rarely,3,6,2026-01-23,Phone,0.91
R00699,35-44,Millennials,Non-binary,Atlantic,$50k-$75k,Urban,4,4,5,3,2,5,4,2,2,4,$250-$500,2-3x/week,3,6,2026-01-18,Online Panel,0.6
R00700,25-34,Millennials,Prefer not to say,British Columbia,$150k+,Urban,3,3,3,4,2,3,4,3,3,3,$500-$1000,Weekly,6,13,2026-02-04,Phone,0.94
R00701,25-34,Millennials,Prefer not to say,Atlantic,<$30k,Urban,3,5,4,3,3,3,4,3,4,4,$1000+,2-3x/month,3,15,2026-01-24,Online Panel,0.85
R00702,45-54,Gen X,Female,Alberta,$50k-$75k,Rural,5,4,3,3,4,5,3,1,5,3,$250-$500,Rarely,4,9,2026-02-01,Phone,0.69
R00703,45-54,Gen X,Prefer not to say,Manitoba,<$30k,Suburban,4,4,2,3,5,3,3,2,5,5,$250-$500,2-3x/month,2,2,2026-02-06,Mobile App,0.7
R00704,65+,Boomers,Male,Ontario,$75k-$100k,Rural,5,4,5,3,4,4,2,1,5,5,<$100,2-3x/month,7,12,2026-02-06,Online Panel,0.9
R00705,45-54,Gen X,Non-binary,Territories,$150k+,Suburban,2,5,3,2,5,5,2,3,2,2,$100-$250,2-3x/week,0,12,2026-01-21,Mobile App,0.69
R00706,55-64,Boomers,Non-binary,Territories,$30k-$50k,Suburban,5,4,4,4,3,3,2,1,4,4,$250-$500,Rarely,2,11,2026-01-17,Email,0.96
R00707,45-54,Gen X,Female,Alberta,$50k-$75k,Rural,4,4,4,3,2,2,2,1,2,5,$1000+,Monthly,7,9,2026-02-09,Phone,0.76
R00708,18-24,Gen Z,Prefer not to say,Territories,$50k-$75k,Urban,3,3,4,4,5,2,3,3,4,3,$1000+,Weekly,7,9,2026-01-31,Mobile App,0.89
R00709,25-34,Millennials,Male,Quebec,$50k-$75k,Suburban,4,5,4,2,4,2,4,3,3,3,<$100,Weekly,6,19,2026-01-16,Email,0.62
R00710,18-24,Gen Z,Non-binary,British Columbia,$150k+,Rural,5,3,2,4,4,2,2,3,4,3,$1000+,2-3x/month,6,13,2026-02-04,Online Panel,0.72
R00711,18-24,Gen Z,Male,Ontario,$100k-$150k,Urban,5,4,5,2,4,5,2,1,5,2,<$100,Rarely,3,0,2026-01-19,Email,0.92
R00712,65+,Boomers,Prefer not to say,Territories,$150k+,Urban,2,5,3,3,3,2,2,1,3,4,$100-$250,2-3x/week,6,9,2026-01-14,Phone,0.88
R00713,45-54,Gen X,Male,Alberta,$75k-$100k,Suburban,3,5,2,3,3,4,3,2,5,3,$1000+,2-3x/month,0,15,2026-01-14,Email,0.96
R00714,65+,Boomers,Female,British Columbia,$100k-$150k,Suburban,5,4,2,4,2,5,2,1,5,2,$250-$500,2-3x/month,5,12,2026-01-14,Email,0.69
R00715,18-24,Gen Z,Prefer not to say,British Columbia,<$30k,Rural,4,3,3,4,4,2,4,2,2,4,$500-$1000,2-3x/week,1,14,2026-01-15,Phone,0.8
R00716,18-24,Gen Z,Prefer not to say,Ontario,$150k+,Rural,4,3,5,4,2,3,4,3,2,3,$250-$500,Rarely,6,3,2026-01-11,Email,0.71
R00717,45-54,Gen X,Prefer not to say,Manitoba,$150k+,Rural,5,4,2,4,2,3,3,2,3,4,$250-$500,Monthly,0,6,2026-02-04,Mobile App,0.99
R00718,65+,Boomers,Prefer not to say,Territories,$150k+,Urban,4,4,5,2,4,4,2,1,3,4,<$100,Weekly,6,2,2026-02-07,Phone,0.86
R00719,25-34,Millennials,Non-binary,Quebec,<$30k,Rural,4,3,2,4,2,4,4,2,5,4,$250-$500,Monthly,1,17,2026-01-11,Email,0.88
R00720,25-34,Millennials,Male,Manitoba,$100k-$150k,Suburban,5,3,3,2,2,3,3,3,5,3,$1000+,Monthly,6,9,2026-01-23,Email,0.72
R00721,25-34,Millennials,Non-binary,Atlantic,$100k-$150k,Urban,3,3,2,4,2,4,3,3,5,2,$250-$500,Daily,1,4,2026-01-27,Online Panel,0.93
R00722,65+,Boomers,Male,Territories,$50k-$75k,Rural,2,4,2,2,3,3,2,1,4,5,$100-$250,Monthly,7,4,2026-01-11,Mobile App,0.87
R00723,35-44,Millennials,Non-binary,Manitoba,$150k+,Rural,5,3,2,2,4,5,4,3,4,4,$1000+,Daily,7,15,2026-01-18,Email,0.8
R00724,55-64,Boomers,Female,Saskatchewan,$75k-$100k,Urban,3,4,4,2,3,3,2,2,3,4,<$100,2-3x/month,2,7,2026-02-02,Mobile App,0.78
R00725,45-54,Gen X,Female,Territories,<$30k,Suburban,4,4,5,3,3,2,3,2,5,4,$1000+,Weekly,7,19,2026-02-02,Phone,0.94
R00726,65+,Boomers,Prefer not to say,Territories,$150k+,Suburban,4,4,3,2,2,2,2,1,4,3,$100-$250,2-3x/month,1,15,2026-02-06,Phone,0.68
R00727,25-34,Millennials,Male,Alberta,$75k-$100k,Suburban,3,3,3,4,4,2,4,3,5,2,$500-$1000,Daily,7,5,2026-01-27,Phone,1.0
R00728,18-24,Gen Z,Male,Saskatchewan,$100k-$150k,Suburban,2,3,2,4,4,5,4,3,2,3,$1000+,Weekly,2,16,2026-01-30,Email,0.94
R00729,45-54,Gen X,Male,British Columbia,$30k-$50k,Rural,5,4,4,3,2,2,3,2,4,3,$500-$1000,2-3x/week,0,13,2026-02-08,Phone,0.87
R00730,18-24,Gen Z,Male,Saskatchewan,<$30k,Urban,2,3,4,4,2,4,4,3,3,3,$500-$1000,2-3x/month,0,2,2026-02-04,Phone,0.83
R00731,65+,Boomers,Female,British Columbia,$100k-$150k,Rural,3,4,2,2,3,3,2,1,3,3,$100-$250,Weekly,3,4,2026-01-21,Online Panel,0.94
R00732,55-64,Boomers,Prefer not to say,Atlantic,$30k-$50k,Suburban,5,4,5,2,2,2,2,1,4,2,$1000+,Weekly,3,12,2026-01-11,Online Panel,0.68
R00733,25-34,Millennials,Male,Manitoba,$100k-$150k,Rural,4,4,4,4,4,5,3,3,5,5,$1000+,Monthly,1,12,2026-02-09,Online Panel,0.61
R00734,55-64,Boomers,Female,Territories,$100k-$150k,Urban,3,5,5,2,5,5,4,1,4,3,<$100,2-3x/week,1,10,2026-02-09,Mobile App,0.9
R00735,65+,Boomers,Prefer not to say,Quebec,$100k-$150k,Rural,4,4,5,2,4,2,2,1,4,2,$100-$250,Weekly,2,17,2026-02-08,Phone,0.72
R00736,25-34,Millennials,Prefer not to say,Ontario,$100k-$150k,Suburban,3,3,3,4,4,4,4,3,4,4,$500-$1000,Weekly,6,16,2026-01-15,Mobile App,0.68
R00737,25-34,Millennials,Non-binary,Quebec,$30k-$50k,Suburban,5,3,4,4,3,2,4,3,4,5,$500-$1000,2-3x/week,3,17,2026-01-20,Online Panel,0.98
R00738,65+,Boomers,Male,Manitoba,$75k-$100k,Urban,5,4,2,2,2,5,2,4,4,5,$500-$1000,Daily,0,15,2026-01-15,Online Panel,0.81
R00739,25-34,Millennials,Female,Alberta,$75k-$100k,Rural,2,3,5,4,3,5,4,1,5,2,$1000+,2-3x/month,3,3,2026-02-06,Phone,0.97
R00740,18-24,Gen Z,Prefer not to say,Ontario,$75k-$100k,Rural,2,4,3,4,5,2,3,3,3,3,$1000+,Rarely,3,11,2026-02-03,Online Panel,0.61
R00741,25-34,Millennials,Female,Manitoba,$100k-$150k,Suburban,2,3,3,4,3,2,4,3,2,5,$500-$1000,2-3x/week,6,18,2026-02-01,Email,0.77
R00742,55-64,Boomers,Female,Alberta,$100k-$150k,Suburban,2,4,2,2,3,5,3,1,3,4,<$100,Monthly,2,6,2026-01-15,Email,0.7
R00743,65+,Boomers,Female,Ontario,<$30k,Suburban,5,4,4,2,4,4,2,1,2,3,$500-$1000,Rarely,3,6,2026-01-27,Mobile App,0.78
R00744,55-64,Boomers,Non-binary,Ontario,$30k-$50k,Rural,4,4,2,2,3,3,3,1,4,2,$1000+,2-3x/week,4,9,2026-02-01,Email,0.85
R00745,45-54,Gen X,Female,Saskatchewan,$150k+,Suburban,5,4,5,3,3,2,3,2,2,2,$1000+,Rarely,1,13,2026-01-16,Email,0.7
R00746,35-44,Millennials,Female,Territories,$100k-$150k,Suburban,5,4,2,4,4,2,4,4,3,3,<$100,2-3x/month,0,11,2026-02-03,Online Panel,0.69
R00747,18-24,Gen Z,Female,Atlantic,$100k-$150k,Rural,3,3,4,4,4,3,4,3,3,3,$1000+,Rarely,1,17,2026-01-15,Online Panel,0.71
R00748,55-64,Boomers,Male,Territories,$150k+,Urban,3,4,5,2,2,2,2,2,2,5,<$100,2-3x/week,3,19,2026-02-05,Online Panel,0.63
R00749,18-24,Gen Z,Prefer not to say,Saskatchewan,$30k-$50k,Suburban,3,3,3,4,2,4,4,3,2,2,$100-$250,Rarely,7,0,2026-01-11,Email,0.81
R00750,25-34,Millennials,Male,Manitoba,$150k+,Urban,3,3,4,4,3,2,4,1,3,2,$100-$250,Rarely,1,2,2026-01-27,Mobile App,0.81
R00751,18-24,Gen Z,Female,Atlantic,<$30k,Suburban,4,3,2,4,4,5,4,3,4,4,<$100,Monthly,1,8,2026-01-29,Mobile App,0.65
R00752,18-24,Gen Z,Female,Quebec,$30k-$50k,Suburban,5,3,4,4,3,5,4,3,3,2,$1000+,Weekly,1,9,2026-01-29,Mobile App,0.84
R00753,65+,Boomers,Male,Manitoba,$150k+,Rural,5,4,4,4,2,3,2,1,2,3,$250-$500,Rarely,4,2,2026-01-15,Online Panel,0.85
R00754,35-44,Millennials,Prefer not to say,Atlantic,$50k-$75k,Urban,5,3,2,4,3,4,4,3,5,3,<$100,Rarely,1,11,2026-01-24,Mobile App,0.89
R00755,18-24,Gen Z,Non-binary,Atlantic,$100k-$150k,Suburban,4,3,4,3,3,3,4,3,2,5,$500-$1000,Daily,5,11,2026-01-19,Mobile App,0.71
R00756,65+,Boomers,Prefer not to say,Quebec,$30k-$50k,Urban,3,4,4,4,2,5,2,2,5,3,<$100,2-3x/month,6,8,2026-01-22,Phone,0.94
R00757,18-24,Gen Z,Non-binary,Manitoba,$30k-$50k,Urban,2,3,4,4,2,4,4,3,4,5,$250-$500,Monthly,6,7,2026-01-15,Mobile App,0.77
R00758,18-24,Gen Z,Prefer not to say,Quebec,$150k+,Suburban,4,3,5,3,3,2,4,4,2,2,$250-$500,Weekly,4,18,2026-02-09,Online Panel,0.69
R00759,25-34,Millennials,Male,Territories,<$30k,Suburban,4,3,4,4,3,5,2,2,5,2,$1000+,Daily,0,4,2026-01-19,Email,0.9
R00760,45-54,Gen X,Prefer not to say,Quebec,$100k-$150k,Suburban,5,3,4,3,4,2,3,3,3,3,$1000+,2-3x/month,5,15,2026-01-28,Phone,1.0
R00761,45-54,Gen X,Male,Saskatchewan,$150k+,Rural,3,4,5,3,2,2,3,2,3,2,$100-$250,Daily,5,9,2026-01-17,Online Panel,0.84
R00762,55-64,Boomers,Male,Alberta,$100k-$150k,Urban,2,4,5,3,2,4,2,1,3,2,$100-$250,2-3x/month,5,13,2026-01-19,Mobile App,0.79
R00763,25-34,Millennials,Female,Ontario,<$30k,Urban,3,3,4,4,5,4,4,3,3,3,$250-$500,Weekly,6,15,2026-02-03,Mobile App,0.66
R00764,25-34,Millennials,Prefer not to say,Manitoba,$100k-$150k,Suburban,2,3,2,4,2,3,4,3,2,4,$250-$500,2-3x/week,0,14,2026-01-21,Online Panel,0.76
R00765,25-34,Millennials,Male,Atlantic,$50k-$75k,Urban,2,3,3,4,4,3,3,3,3,4,$100-$250,2-3x/week,7,5,2026-01-18,Phone,0.71
R00766,65+,Boomers,Prefer not to say,Saskatchewan,$100k-$150k,Rural,2,4,4,2,4,3,2,3,2,5,$500-$1000,2-3x/month,4,2,2026-01-30,Online Panel,0.72
R00767,45-54,Gen X,Female,Ontario,$150k+,Urban,5,4,2,3,2,4,4,2,2,3,$500-$1000,Weekly,4,8,2026-02-08,Phone,0.61
R00768,25-34,Millennials,Prefer not to say,British Columbia,<$30k,Suburban,5,5,3,4,4,3,4,2,2,4,$500-$1000,2-3x/month,6,9,2026-02-01,Mobile App,0.61
R00769,65+,Boomers,Non-binary,Ontario,<$30k,Urban,3,3,5,4,3,5,2,1,4,3,$250-$500,Weekly,7,2,2026-01-15,Mobile App,0.92
R00770,25-34,Millennials,Female,Ontario,$30k-$50k,Suburban,2,3,5,2,2,4,4,2,3,3,<$100,Daily,5,0,2026-01-20,Email,0.94
R00771,25-34,Millennials,Non-binary,Territories,$30k-$50k,Suburban,4,3,3,4,4,5,4,3,5,5,$500-$1000,Monthly,4,16,2026-01-14,Phone,0.63
R00772,65+,Boomers,Male,Quebec,$30k-$50k,Urban,5,4,4,4,5,3,2,4,3,3,$1000+,Monthly,0,10,2026-02-05,Phone,0.62
R00773,65+,Boomers,Female,Ontario,$100k-$150k,Rural,2,4,5,2,4,2,2,3,3,3,$1000+,Daily,2,10,2026-01-18,Email,0.7
R00774,25-34,Millennials,Prefer not to say,Alberta,$150k+,Urban,5,3,2,4,4,4,4,2,4,2,$1000+,2-3x/month,1,4,2026-01-21,Email,0.82
R00775,45-54,Gen X,Prefer not to say,British Columbia,$50k-$75k,Rural,2,4,5,3,4,2,3,2,3,5,$100-$250,Weekly,0,1,2026-01-16,Phone,0.91
R00776,65+,Boomers,Male,Alberta,$30k-$50k,Urban,3,4,2,2,4,2,2,1,4,2,$1000+,2-3x/month,2,11,2026-01-25,Mobile App,0.66
R00777,35-44,Millennials,Non-binary,Quebec,$30k-$50k,Urban,4,5,5,4,3,2,3,2,4,2,<$100,Monthly,6,2,2026-01-13,Email,0.99
R00778,45-54,Gen X,Prefer not to say,Territories,$75k-$100k,Suburban,4,4,2,3,5,5,3,1,5,5,$100-$250,2-3x/month,3,15,2026-01-23,Mobile App,0.7
R00779,35-44,Millennials,Male,Saskatchewan,<$30k,Suburban,2,3,2,4,3,4,4,3,2,3,$500-$1000,2-3x/week,0,7,2026-01-23,Online Panel,0.61
R00780,18-24,Gen Z,Male,Saskatchewan,<$30k,Rural,3,3,5,4,5,3,4,3,5,2,$1000+,Rarely,5,15,2026-02-01,Email,0.91
R00781,25-34,Millennials,Female,Manitoba,<$30k,Suburban,3,3,3,4,5,3,4,3,2,5,$250-$500,Monthly,7,17,2026-01-12,Online Panel,0.9
R00782,45-54,Gen X,Female,Atlantic,$30k-$50k,Urban,3,4,4,2,2,2,2,2,2,4,<$100,Monthly,2,16,2026-01-15,Phone,0.81
R00783,65+,Boomers,Prefer not to say,Saskatchewan,<$30k,Suburban,5,4,3,2,4,2,2,1,4,5,$1000+,2-3x/month,1,13,2026-02-09,Phone,0.93
R00784,55-64,Boomers,Male,Saskatchewan,$30k-$50k,Rural,3,4,2,2,5,2,2,1,3,2,$250-$500,Rarely,2,5,2026-02-07,Email,0.84
R00785,35-44,Millennials,Female,Atlantic,$75k-$100k,Rural,3,3,5,4,2,5,4,2,3,5,$1000+,Monthly,2,15,2026-01-15,Online Panel,0.67
R00786,55-64,Boomers,Male,British Columbia,$30k-$50k,Suburban,3,4,4,2,2,5,2,1,4,5,$250-$500,2-3x/month,1,15,2026-02-02,Phone,0.63
R00787,25-34,Millennials,Prefer not to say,Quebec,$100k-$150k,Suburban,4,3,2,3,4,5,4,3,5,2,<$100,Weekly,5,19,2026-01-16,Online Panel,0.68
R00788,25-34,Millennials,Male,British Columbia,<$30k,Rural,5,3,2,2,3,4,3,3,4,2,<$100,2-3x/month,4,5,2026-01-28,Email,0.9
R00789,25-34,Millennials,Female,Manitoba,$150k+,Rural,4,3,3,2,3,3,4,2,4,3,$100-$250,2-3x/month,6,9,2026-01-24,Phone,0.81
R00790,25-34,Millennials,Male,British Columbia,$100k-$150k,Suburban,5,3,5,3,5,5,4,3,2,4,$250-$500,2-3x/week,0,19,2026-01-23,Mobile App,0.65
R00791,35-44,Millennials,Prefer not to say,Territories,$30k-$50k,Rural,2,3,3,2,5,4,3,3,3,3,$250-$500,2-3x/month,5,2,2026-01-30,Email,1.0
R00792,25-34,Millennials,Male,British Columbia,$75k-$100k,Urban,4,3,2,4,5,4,3,3,4,5,$250-$500,Monthly,4,4,2026-01-26,Phone,0.95
R00793,45-54,Gen X,Prefer not to say,Ontario,$150k+,Urban,4,4,5,3,3,5,3,2,4,5,$500-$1000,Rarely,5,17,2026-02-04,Email,0.85
R00794,45-54,Gen X,Female,Atlantic,$30k-$50k,Urban,3,4,4,3,4,5,3,2,5,3,$250-$500,2-3x/week,7,10,2026-02-05,Online Panel,0.9
R00795,45-54,Gen X,Male,Alberta,$30k-$50k,Suburban,3,4,3,3,3,3,3,2,4,2,$250-$500,Rarely,2,11,2026-01-29,Mobile App,0.67
R00796,45-54,Gen X,Prefer not to say,Quebec,$50k-$75k,Urban,4,4,3,3,5,5,3,2,4,4,<$100,2-3x/week,4,9,2026-01-30,Email,1.0
R00797,25-34,Millennials,Male,Territories,<$30k,Urban,5,3,3,4,2,5,4,4,5,5,$100-$250,2-3x/month,6,12,2026-02-05,Mobile App,0.7
R00798,45-54,Gen X,Male,Ontario,$50k-$75k,Urban,3,4,5,2,2,4,3,2,4,2,$1000+,2-3x/month,1,17,2026-02-09,Online Panel,0.78
R00799,18-24,Gen Z,Female,Territories,$30k-$50k,Suburban,2,3,5,4,2,4,4,2,3,3,$250-$500,Daily,3,3,2026-01-29,Mobile App,0.68
R00800,35-44,Millennials,Male,Atlantic,$30k-$50k,Urban,3,3,4,4,2,2,4,3,3,5,$500-$1000,2-3x/week,5,16,2026-01-27,Mobile App,0.74
R00801,65+,Boomers,Male,Alberta,$75k-$100k,Rural,5,4,4,2,3,5,2,1,2,5,$100-$250,Rarely,7,14,2026-01-26,Online Panel,0.88
R00802,45-54,Gen X,Non-binary,Territories,<$30k,Rural,3,3,3,3,5,5,3,2,2,4,$500-$1000,Weekly,7,6,2026-01-18,Mobile App,0.96
R00803,25-34,Millennials,Male,Ontario,$75k-$100k,Urban,4,3,3,3,4,5,2,3,3,5,$250-$500,2-3x/week,1,13,2026-01-23,Online Panel,0.92
R00804,65+,Boomers,Female,British Columbia,<$30k,Suburban,5,4,3,2,3,2,2,1,2,5,$500-$1000,Monthly,2,3,2026-02-05,Mobile App,0.64
R00805,55-64,Boomers,Prefer not to say,Atlantic,<$30k,Urban,3,4,5,4,4,4,3,1,2,2,$100-$250,Weekly,6,7,2026-01-13,Online Panel,0.92
R00806,45-54,Gen X,Female,Territories,$30k-$50k,Urban,4,4,5,4,3,2,3,2,3,5,$100-$250,2-3x/week,1,11,2026-01-25,Phone,0.8
R00807,35-44,Millennials,Prefer not to say,Quebec,$150k+,Rural,3,3,5,4,2,4,4,4,4,4,$100-$250,Daily,1,19,2026-01-22,Email,0.86
R00808,65+,Boomers,Prefer not to say,British Columbia,$50k-$75k,Urban,4,4,5,2,4,4,2,1,4,4,$1000+,2-3x/month,6,13,2026-02-08,Online Panel,0.82
R00809,35-44,Millennials,Male,Territories,$75k-$100k,Rural,3,3,2,4,3,2,4,3,5,2,$100-$250,2-3x/week,0,19,2026-01-27,Online Panel,0.63
R00810,55-64,Boomers,Male,Manitoba,$30k-$50k,Rural,4,4,4,4,4,5,4,4,3,4,$500-$1000,2-3x/month,2,18,2026-01-13,Email,0.87
R00811,25-34,Millennials,Female,Atlantic,$30k-$50k,Rural,4,4,2,4,5,3,4,3,4,3,$250-$500,Rarely,4,8,2026-01-23,Email,0.94
R00812,25-34,Millennials,Non-binary,Saskatchewan,$150k+,Urban,3,3,5,4,3,3,4,3,4,5,$500-$1000,Daily,4,1,2026-02-01,Mobile App,0.87
R00813,65+,Boomers,Non-binary,Saskatchewan,$30k-$50k,Urban,2,4,2,2,3,3,2,4,4,5,$1000+,Rarely,5,0,2026-01-26,Mobile App,0.94
R00814,55-64,Boomers,Prefer not to say,Saskatchewan,$30k-$50k,Suburban,4,4,5,2,4,5,2,1,4,2,$250-$500,Daily,3,0,2026-01-11,Mobile App,0.83
R00815,25-34,Millennials,Female,Quebec,$30k-$50k,Rural,2,3,2,4,3,5,2,3,3,3,<$100,2-3x/month,7,2,2026-01-23,Phone,0.98
R00816,35-44,Millennials,Female,Alberta,$30k-$50k,Suburban,2,4,5,3,2,4,3,3,4,3,$100-$250,Rarely,5,10,2026-01-25,Mobile App,0.78
R00817,35-44,Millennials,Prefer not to say,Quebec,$50k-$75k,Suburban,4,3,4,4,2,3,4,3,3,5,$1000+,2-3x/month,2,7,2026-02-08,Mobile App,0.81
R00818,45-54,Gen X,Male,Atlantic,$75k-$100k,Urban,5,4,4,3,2,2,3,3,3,5,$1000+,Rarely,0,0,2026-01-13,Mobile App,0.68
R00819,35-44,Millennials,Prefer not to say,Territories,$50k-$75k,Suburban,2,3,3,4,2,2,4,2,3,5,$250-$500,Rarely,0,12,2026-02-09,Phone,0.63
R00820,25-34,Millennials,Female,Alberta,<$30k,Urban,4,3,3,4,5,3,4,3,2,2,<$100,2-3x/month,2,10,2026-01-29,Phone,0.95
R00821,65+,Boomers,Non-binary,Atlantic,$75k-$100k,Suburban,2,4,2,2,2,4,2,2,3,5,$1000+,Daily,1,13,2026-02-03,Phone,0.65
R00822,55-64,Boomers,Female,Alberta,$75k-$100k,Suburban,2,4,5,2,3,5,2,1,2,3,$500-$1000,Rarely,7,2,2026-01-28,Email,0.87
R00823,65+,Boomers,Male,Atlantic,$75k-$100k,Rural,3,5,4,2,5,5,2,4,4,3,$1000+,Rarely,2,0,2026-01-15,Online Panel,0.88
R00824,65+,Boomers,Female,Manitoba,$100k-$150k,Suburban,4,4,4,4,5,4,4,1,4,3,$100-$250,Rarely,7,8,2026-02-01,Mobile App,0.97
R00825,18-24,Gen Z,Male,Quebec,$150k+,Rural,2,3,4,4,5,2,4,3,5,5,<$100,Monthly,1,12,2026-01-12,Mobile App,0.7
R00826,45-54,Gen X,Female,Atlantic,$50k-$75k,Rural,5,4,4,3,4,4,3,4,4,2,$500-$1000,Weekly,1,11,2026-02-05,Phone,0.74
R00827,65+,Boomers,Male,Quebec,$150k+,Rural,5,4,5,3,4,2,2,1,4,2,$1000+,Rarely,6,4,2026-01-25,Phone,0.62
R00828,65+,Boomers,Non-binary,Ontario,$30k-$50k,Suburban,3,3,2,4,2,4,2,1,4,4,$250-$500,Rarely,5,12,2026-02-03,Email,0.71
R00829,65+,Boomers,Prefer not to say,British Columbia,$30k-$50k,Suburban,3,4,3,2,5,4,2,1,2,3,<$100,Daily,1,11,2026-01-25,Phone,0.82
R00830,55-64,Boomers,Female,British Columbia,$30k-$50k,Urban,4,4,5,2,5,4,3,1,2,2,$250-$500,2-3x/month,5,17,2026-01-21,Phone,0.98
R00831,65+,Boomers,Male,British Columbia,<$30k,Suburban,5,5,5,3,3,2,2,1,5,3,$500-$1000,2-3x/week,3,11,2026-01-18,Phone,0.76
R00832,45-54,Gen X,Male,Ontario,<$30k,Suburban,2,4,4,3,5,5,3,2,5,2,$100-$250,Daily,6,5,2026-01-15,Mobile App,0.95
R00833,55-64,Boomers,Male,Atlantic,$100k-$150k,Rural,5,4,4,2,3,3,2,1,5,3,<$100,Weekly,5,4,2026-01-23,Phone,0.75
R00834,35-44,Millennials,Non-binary,Saskatchewan,$50k-$75k,Urban,2,3,5,4,3,3,4,4,3,4,$250-$500,Weekly,1,11,2026-01-20,Email,0.91
R00835,18-24,Gen Z,Male,Territories,$150k+,Suburban,4,3,5,4,2,4,2,3,3,4,$1000+,Monthly,7,13,2026-01-19,Email,0.61
R00836,65+,Boomers,Female,Saskatchewan,$75k-$100k,Rural,4,4,5,2,4,3,2,1,4,2,$100-$250,Daily,1,10,2026-01-19,Email,0.79
R00837,18-24,Gen Z,Non-binary,Ontario,$150k+,Suburban,4,3,4,3,5,3,4,3,3,4,$100-$250,Daily,0,13,2026-01-17,Email,0.68
R00838,45-54,Gen X,Prefer not to say,Quebec,$150k+,Suburban,2,3,4,4,3,5,3,2,2,5,$500-$1000,Monthly,5,16,2026-01-14,Online Panel,0.71
R00839,25-34,Millennials,Prefer not to say,Quebec,$50k-$75k,Rural,5,3,5,4,3,2,4,3,5,4,$250-$500,Daily,5,16,2026-02-06,Phone,0.89
R00840,65+,Boomers,Female,Alberta,$30k-$50k,Urban,5,4,3,2,4,3,3,1,4,2,$100-$250,Rarely,3,4,2026-01-24,Online Panel,0.65
R00841,25-34,Millennials,Non-binary,Atlantic,$50k-$75k,Urban,3,3,5,4,2,5,4,3,4,4,$100-$250,Rarely,4,18,2026-01-22,Mobile App,0.99
R00842,55-64,Boomers,Prefer not to say,Quebec,$150k+,Suburban,5,4,5,2,5,3,2,1,5,5,$250-$500,Rarely,6,16,2026-01-24,Email,0.84
R00843,45-54,Gen X,Prefer not to say,Atlantic,$30k-$50k,Urban,3,5,3,4,2,2,2,1,5,5,<$100,Monthly,6,9,2026-01-24,Mobile App,0.99
R00844,65+,Boomers,Male,Saskatchewan,$30k-$50k,Suburban,4,4,2,2,4,3,4,1,5,4,$500-$1000,Monthly,3,12,2026-01-18,Mobile App,0.74
R00845,45-54,Gen X,Prefer not to say,Saskatchewan,$50k-$75k,Rural,2,4,4,2,5,3,3,2,4,4,$1000+,Daily,7,12,2026-02-08,Phone,0.68
R00846,18-24,Gen Z,Prefer not to say,Saskatchewan,$30k-$50k,Suburban,2,3,4,4,3,4,4,3,5,4,$1000+,2-3x/week,1,15,2026-02-03,Online Panel,0.63
R00847,55-64,Boomers,Non-binary,Manitoba,$100k-$150k,Rural,2,3,5,2,5,4,2,1,4,3,$1000+,2-3x/week,4,1,2026-02-01,Phone,0.96
R00848,35-44,Millennials,Prefer not to say,Ontario,$50k-$75k,Urban,5,3,3,2,3,4,4,3,2,4,$250-$500,Rarely,5,10,2026-01-12,Online Panel,0.62
R00849,25-34,Millennials,Prefer not to say,Atlantic,$50k-$75k,Rural,3,3,4,3,3,2,2,1,2,5,<$100,2-3x/month,0,0,2026-02-09,Phone,0.8
R00850,35-44,Millennials,Prefer not to say,Atlantic,<$30k,Rural,3,3,3,4,2,2,4,3,2,2,$500-$1000,Monthly,0,19,2026-02-07,Phone,0.9
R00851,18-24,Gen Z,Female,Saskatchewan,$100k-$150k,Urban,3,3,4,4,4,2,4,3,3,2,$500-$1000,2-3x/week,4,16,2026-01-19,Phone,0.84
R00852,65+,Boomers,Prefer not to say,Manitoba,$30k-$50k,Urban,3,5,3,2,2,5,2,4,3,5,$1000+,Rarely,4,4,2026-01-18,Online Panel,0.77
R00853,65+,Boomers,Female,Atlantic,$75k-$100k,Rural,4,4,4,2,5,2,3,1,5,5,<$100,2-3x/week,4,13,2026-01-25,Online Panel,0.93
R00854,18-24,Gen Z,Non-binary,Atlantic,$30k-$50k,Rural,5,3,5,2,5,5,4,1,4,2,$100-$250,Weekly,6,9,2026-01-23,Mobile App,0.78
R00855,65+,Boomers,Prefer not to say,Quebec,$75k-$100k,Rural,2,4,4,2,2,2,2,1,3,2,$250-$500,Daily,0,13,2026-01-17,Online Panel,0.88
